"ordernumber","quantityordered","priceeach","sales","orderdate","productline","productcode","customername","totalrevenue"
10211,41,"100","4708.44","2004-01-15","Motorcycles","S10_1678","Auto Canal Petit","4100"
10223,37,"100","3965.66","2004-02-20","Motorcycles","S10_1678","Australian Collectors, Co.","3700"
10237,23,"100","2333.12","2004-04-05","Motorcycles","S10_1678","Vitachrome Inc.","2300"
10251,28,"100","3188.64","2004-05-18","Motorcycles","S10_1678","Tekni Collectables Inc.","2800"
10263,34,"100","3676.76","2004-06-28","Motorcycles","S10_1678","Gift Depot Inc.","3400"
10275,45,"92.83","4177.35","2004-07-23","Motorcycles","S10_1678","La Rochelle Gifts","4177.35"
10285,36,"100","4099.68","2004-08-27","Motorcycles","S10_1678","Marta'S Replicas Co.","3600"
10299,23,"100","2597.39","2004-09-30","Motorcycles","S10_1678","Toys Of Finland, Co.","2300"
10309,41,"100","4394.38","2004-10-15","Motorcycles","S10_1678","Baane Mini Imports","4100"
10318,46,"94.74","4358.04","2004-11-02","Motorcycles","S10_1678","Diecast Classics Inc.","4358.04"
10329,42,"100","4396.14","2004-11-15","Motorcycles","S10_1678","Land Of Toys Inc.","4200"
10341,41,"100","7737.93","2004-11-24","Motorcycles","S10_1678","Salzburg Collectables","4100"
10361,20,"72.55","1451","2004-12-17","Motorcycles","S10_1678","Souveniers And Things Co.","1451"
10215,35,"100","6075.3","2004-01-29","Classic Cars","S10_1949","West Coast Collectables Co.","3500"
10228,29,"100","6463.23","2004-03-10","Classic Cars","S10_1949","Cambridge Collectables Co.","2900"
10245,34,"100","6120.34","2004-05-04","Classic Cars","S10_1949","Super Scale Inc.","3400"
10258,32,"100","7680.64","2004-06-15","Classic Cars","S10_1949","Tokyo Collectables, Ltd","3200"
10270,21,"100","4905.39","2004-07-19","Classic Cars","S10_1949","Souveniers And Things Co.","2100"
10280,34,"100","8014.82","2004-08-17","Classic Cars","S10_1949","Amica Models & Co.","3400"
10291,37,"100","7136.19","2004-09-08","Classic Cars","S10_1949","Scandinavian Gift Ideas","3700"
10304,47,"100","10172.7","2004-10-11","Classic Cars","S10_1949","Auto Assoc. & Cie.","4700"
10312,48,"100","11623.7","2004-10-21","Classic Cars","S10_1949","Mini Gifts Distributors Ltd.","4800"
10322,40,"100","6000.4","2004-11-04","Classic Cars","S10_1949","Online Diecast Creations Co.","4000"
10333,26,"100","3003","2004-11-18","Classic Cars","S10_1949","Mini Wheels Co.","2600"
10347,30,"100","3944.7","2004-11-29","Classic Cars","S10_1949","Australian Collectors, Co.","3000"
10357,32,"100","5691.84","2004-12-10","Classic Cars","S10_1949","Mini Gifts Distributors Ltd.","3200"
10210,23,"100","3009.09","2004-01-12","Motorcycles","S10_2016","Osaka Souveniers Co.","2300"
10223,47,"100","5422.39","2004-02-20","Motorcycles","S10_2016","Australian Collectors, Co.","4700"
